Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",,4,,
C1,0805,1,0.1uf,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"J7, J8",DSUB9_FEMALE_RIGHT-ANGLE-THT_2301844-1_TEC,2,DSUB9_FEMALE_RIGHT-ANGLE-THT_2301844-1_TEC,
JP2,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Open,
"R1, R12, R13, R14, R15, R16, R18, R19, R20",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,9,10k,
"R10, R11, R17, R2, R21, R3, R4, R5, R6, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,12,1K,
"R_5POS1, R_5POS2",PinHeader_1x06_P2.54mm_Horizontal,2,Conn_01x06_Pin,
"R_BRK1, R_THR1",PinHeader_1x03_P2.54mm_Horizontal,2,Conn_01x03_Pin,
"R_POS1, R_POS2",PinHeader_1x04_P2.54mm_Horizontal,2,Conn_01x04_Pin,
R_TERM1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,120,
"SW_PUSH1, SW_PUSH2, SW_TOG1, SW_TOG2",PinHeader_1x02_P2.54mm_Horizontal,4,Conn_01x02_Pin,
U1,ESP32-S3-DevKitC,1,ESP32-S3-DevKitC,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
