Designator,Mid X,Mid Y,Rotation,Layer
C1,261.65,-104.6,180.0,top
C2,222.5,-41.05,270.0,top
C3,213.0,-95.55,270.0,top
C4,209.99,-95.55,270.0,top
C5,216.5,-83.45,90.0,top
C6,218.7,-83.45,270.0,top
C7,211.4,-112.15,180.0,top
C8,265.5,-112.05,180.0,top
J1,227.5,-30.8675,0.0,top
J2,241.5,-30.8675,0.0,top
J3,212.15,-88.125,90.0,top
J4,253.2,-85.495,270.0,top
J5,253.2,-49.505,270.0,top
JP2,258.53,-67.5,270.0,top
R1,261.5875,-102.5,0.0,top
R10,227.075,-111.5375,270.0,top
R11,229.4625,-111.5375,270.0,top
R12,217.3875,-106.0,180.0,top
R13,236.3,-111.6125,270.0,top
R14,238.6,-111.6125,270.0,top
R15,240.8,-111.6125,270.0,top
R16,243.1,-111.6125,270.0,top
R17,231.8625,-111.5375,270.0,top
R18,217.4,-98.4,180.0,top
R19,217.4,-101.0,180.0,top
R2,247.6125,-111.55,270.0,top
R20,217.3875,-103.6,180.0,top
R21,259.925,-111.55,270.0,top
R22,214.45,-111.45,90.0,top
R23,268.45,-111.3625,90.0,top
R3,250.025,-111.55,270.0,top
R4,252.525,-111.5625,270.0,top
R5,255.025,-111.5625,270.0,top
R6,257.525,-111.5625,270.0,top
R7,219.875,-111.4625,270.0,top
R8,222.275,-111.5375,270.0,top
R9,224.6875,-111.5375,270.0,top
R_5POS1,253.8,-116.9,180.0,top
R_5POS2,225.9,-116.8,180.0,top
R_BRK1,212.7,-116.8,180.0,top
R_POS1,212.0,-102.5,90.0,top
R_POS2,239.725,-116.85,180.0,top
R_TERM1,252.0875,-67.5,180.0,top
R_THR1,266.7,-116.8,180.0,top
SW_PUSH1,212.15,-48.875,90.0,top
SW_PUSH2,212.15,-56.375,90.0,top
SW_PUSH3,212.15,-63.875,90.0,top
SW_PUSH4,212.15,-71.375,90.0,top
SW_PUSH5,212.15,-78.875,90.0,top
SW_TOG1,253.5,-28.5,0.0,top
SW_TOG2,261.15,-28.5,0.0,top
U1,234.06816,-71.17,0.0,top
U2,255.975,-104.135,270.0,top
U3,217.5,-88.1,0.0,top
