Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",,4,,
BACKUP_SCREEN,PinHeader_1x04_P2.54mm_Horizontal,1,Conn_01x04_Pin,
"C1, C3, C4, C5, C6",0805,5,0.1uf,
C2,0805,1,10uf,
GND-5V,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
GND-5V-3.3V,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J3,IDC-Header_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
"J7, J8",DSUB9_FEMALE_RIGHT-ANGLE-THT_2301844-1_TEC,2,DSUB9_FEMALE_RIGHT-ANGLE-THT_2301844-1_TEC,
JP2,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Open,
"PUSH_1, PUSH_2",PinHeader_1x02_P2.54mm_Horizontal,2,Conn_01x02_Pin,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,120,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10k,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
U2,ESP32-S3-DevKitC,1,ESP32-S3-DevKitC,
U3,I2C_Logic_Shifter,1,Logic_Level_Shifter,
